word,df,idf,id_topic
dye,264,3.746,1
solar,373,3.401,1
cell,506,3.097,1
zno,305,3.602,1
fabric,255,3.78,1
thin,270,3.723,1
film,581,2.959,1
spray,120,4.529,1
properti,1044,2.374,1
pengaruh,121,4.521,1
character,855,2.573,1
method,998,2.419,1
enhanc,281,3.683,1
hydrogen,190,4.073,1
water,278,3.694,1
surfac,346,3.476,1
modif,187,4.089,1
tio2,301,3.615,1
prepar,810,2.627,1
modifi,274,3.709,1
layer,170,4.184,1
nanoparticl,745,2.711,1
investig,164,4.219,1
electr,176,4.149,1
structur,517,3.075,1
use,1879,1.786,1
reduct,153,4.288,1
irradi,133,4.427,1
stabil,131,4.442,1
variou,119,4.538,1
glycol,119,4.538,1
effect,1482,2.023,1
potenti,137,4.398,1
copper,111,4.607,1
deposit,194,4.052,1
materi,533,3.045,1
electrolyt,141,4.369,1
polym,364,3.425,1
blue,122,4.513,1
acid,799,2.641,1
synthesi,1569,1.966,1
composit,714,2.753,1
membran,587,2.949,1
dope,241,3.836,1
photocatalyt,165,4.213,1
activ,538,3.036,1
degrad,206,3.993,1
system,242,3.832,1
influenc,288,3.659,1
applic,574,2.971,1
reaction,192,4.063,1
synthes,269,3.727,1
oil,438,3.241,1
studi,1035,2.382,1
poli,162,4.232,1
chitosan,312,3.579,1
ion,448,3.218,1
wast,226,3.9,1
lithium,123,4.505,1
batteri,134,4.42,1
analysi,306,3.598,1
solid,157,4.263,1
extract,233,3.87,1
fuel,164,4.219,1
current,101,4.7,1
cellulos,235,3.861,1
produc,140,4.377,1
medium,109,4.625,1
oxid,609,2.912,1
addit,267,3.734,1
ionic,102,4.691,1
liquid,130,4.45,1
high,148,4.321,1
densiti,146,4.335,1
separ,143,4.355,1
mechan,281,3.683,1
conduct,172,4.172,1
improv,174,4.16,1
perform,365,3.423,1
palm,183,4.11,1
acet,124,4.497,1
direct,114,4.58,1
methanol,105,4.662,1
thermal,260,3.761,1
morpholog,205,3.997,1
via,181,4.121,1
green,115,4.572,1
base,573,2.973,1
methyl,108,4.634,1
sand,115,4.572,1
biodiesel,251,3.796,1
crosslink,106,4.652,1
rubber,119,4.538,1
seed,103,4.681,1
novel,104,4.671,1
product,399,3.334,1
process,354,3.453,1
time,158,4.256,1
calcium,129,4.458,1
differ,121,4.521,1
coat,308,3.592,1
absorpt,136,4.405,1
carbon,836,2.595,1
dioxid,129,4.458,1
adsorb,175,4.155,1
treatment,216,3.945,1
develop,164,4.219,1
determin,126,4.481,1
chemic,110,4.616,1
low,131,4.442,1
temperatur,431,3.257,1
format,205,3.997,1
ash,137,4.398,1
zeolit,306,3.598,1
remov,230,3.883,1
natur,405,3.319,1
physic,111,4.607,1
adsorpt,530,3.051,1
crystal,245,3.82,1
phase,157,4.263,1
hydrotherm,132,4.435,1
glass,124,4.497,1
co2,159,4.25,1
fiber,214,3.955,1
concentr,298,3.625,1
electrochem,165,4.213,1
particl,185,4.1,1
nickel,130,4.45,1
mesopor,158,4.256,1
combin,108,4.634,1
agent,165,4.213,1
kinet,260,3.761,1
catalyt,155,4.275,1
matrix,117,4.555,1
nanocomposit,225,3.905,1
aqueou,184,4.105,1
compound,120,4.529,1
solut,393,3.349,1
metal,332,3.517,1
imprint,121,4.521,1
function,264,3.746,1
optim,179,4.132,1
select,124,4.497,1
complex,181,4.121,1
sodium,183,4.11,1
catalyst,576,2.967,1
characterist,342,3.488,1
shell,150,4.308,1
surfact,116,4.563,1
substrat,104,4.671,1
gel,150,4.308,1
rice,146,4.335,1
organ,136,4.405,1
techniqu,144,4.349,1
evalu,165,4.213,1
zinc,142,4.362,1
deriv,173,4.166,1
control,101,4.7,1
releas,109,4.625,1
behavior,112,4.598,1
nanofib,134,4.42,1
alcohol,119,4.538,1
iii,121,4.521,1
gold,129,4.458,1
electrod,315,3.57,1
detect,135,4.413,1
reduc,155,4.275,1
graphen,254,3.784,1
silver,126,4.481,1
model,220,3.927,1
alloy,111,4.607,1
nanotub,161,4.238,1
bone,121,4.521,1
plasma,123,4.505,1
optic,250,3.8,1
sensor,228,3.892,1
molecular,110,4.616,1
powder,106,4.652,1
electron,155,4.275,1
iron,191,4.068,1
magnet,263,3.749,1
microwav,163,4.225,1
nano,123,4.505,1
silica,314,3.573,1
nanostructur,111,4.607,1
solvent,137,4.398,1
simul,122,4.513,1
hybrid,178,4.138,1
corros,106,4.652,1
solgel,150,4.308,1
calcul,110,4.616,1
laser,124,4.497,1
sensit,133,4.427,1
sistem,1044,2.049,2
informasi,708,2.437,2
daerah,312,3.255,2
analisis,1340,1.8,2
ancang,216,3.621,2
data,111,4.282,2
pegawai,197,3.713,2
bangun,355,3.126,2
unit,115,4.247,2
kelola,186,3.77,2
kota,611,2.584,2
web,147,4.004,2
kabupaten,454,2.881,2
aplikasi,222,3.594,2
kantor,184,3.78,2
strategi,340,3.169,2
indonesia,1161,1.943,2
proses,149,3.99,2
bas,410,2.982,2
studi,1585,1.632,2
hubung,236,3.533,2
motivasi,160,3.919,2
kerja,1503,1.685,2
harga,262,3.429,2
kaji,107,4.319,2
kembang,373,3.077,2
semarang,273,3.388,2
industri,382,3.053,2
bijak,359,3.115,2
jawa,207,3.663,2
tengah,194,3.728,2
sektor,157,3.938,2
dagang,105,4.337,2
jasa,144,4.024,2
hak,109,4.3,2
milik,140,4.052,2
produksi,179,3.808,2
tingkat,503,2.778,2
kasus,853,2.251,2
pengaruh,1756,1.529,2
tenaga,137,4.074,2
modal,248,3.483,2
ekonomi,179,3.808,2
provinsi,152,3.97,2
periode,197,3.713,2
kualitas,385,3.045,2
tahun,441,2.91,2
didik,108,4.31,2
perintah,360,3.112,2
negeri,116,4.239,2
produk,407,2.99,2
surabaya,175,3.83,2
struktur,110,4.291,2
variabel,247,3.487,2
perspektif,133,4.103,2
tindak,131,4.118,2
dampak,137,4.074,2
rumah,131,4.118,2
sosial,175,3.83,2
nilai,314,3.248,2
negara,227,3.572,2
perban,199,3.703,2
faktor,122,4.189,2
langgan,168,3.871,2
persero,186,3.77,2
puas,400,3.007,2
layan,530,2.726,2
sehat,184,3.78,2
guna,682,2.474,2
putus,327,3.208,2
usaha,1138,1.963,2
ukur,219,3.607,2
bank,482,2.821,2
syariah,334,3.187,2
terap,297,3.304,2
metode,403,2.999,2
pasar,392,3.027,2
lembaga,163,3.901,2
kecil,120,4.205,2
perilaku,116,4.239,2
konsumen,229,3.563,2
atas,168,3.871,2
beli,187,3.764,2
efek,288,3.334,2
dasar,208,3.659,2
saing,119,4.213,2
evaluasi,177,3.819,2
masyarakat,190,3.749,2
biaya,236,3.533,2
manajemen,483,2.819,2
model,381,3.055,2
lalu,307,3.271,2
dekat,219,3.607,2
peran,251,3.471,2
pimpin,141,4.045,2
daya,187,3.764,2
dukung,132,4.111,2
organisasi,310,3.261,2
profitabilitas,127,4.149,2
saham,281,3.359,2
hukum,648,2.525,2
nasional,147,4.004,2
laksana,162,3.907,2
undangundang,115,4.247,2
nomor,182,3.791,2
publik,161,3.913,2
implementasi,281,3.359,2
badan,113,4.265,2
lindung,200,3.698,2
bisnis,177,3.819,2
manufaktur,171,3.853,2
tinjau,152,3.97,2
faktorfaktor,125,4.165,2
yogyakarta,128,4.141,2
kendali,130,4.126,2
lingkung,176,3.825,2
risiko,178,3.813,2
bursa,276,3.377,2
daftar,299,3.297,2
bei,107,4.319,2
jakarta,101,4.376,2
uang,430,2.935,2
tentu,130,4.126,2
tbk,173,3.842,2
lapor,161,3.913,2
empiris,206,3.668,2
hasil,142,4.038,2
corporate,126,4.157,2
kredit,115,4.247,2
umum,134,4.096,2
budaya,126,4.157,2
karyawan,352,3.134,2
komunikasi,109,4.3,2
program,137,4.074,2
audit,157,3.938,2
akuntansi,106,4.328,2
cabang,138,4.066,2
pilih,112,4.273,2
tata,101,4.376,2
camat,126,4.157,2
adil,121,4.197,2
loyalitas,117,4.23,2
teknologi,137,4.074,2
desa,111,4.282,2
persepsi,122,4.189,2
medan,166,3.883,2
bandung,115,4.247,2
dinas,121,4.197,2
rancang,110,4.291,2
governance,106,4.328,2
atur,122,4.189,2
karakteristik,102,4.366,2
jual,125,4.165,2
laku,118,4.222,2
pidana,125,4.165,2
komitmen,140,4.052,2
pajak,216,3.621,2
laba,101,4.376,2
intervening,111,4.282,2
larva,104,4.411,3
leaf,526,2.797,3
seed,314,3.312,3
indonesia,198,3.771,3
product,467,2.916,3
oil,980,2.176,3
potenti,275,3.444,3
use,680,2.541,3
feed,329,3.265,3
properti,167,3.941,3
ethyl,148,4.061,3
growth,296,3.371,3
essenti,174,3.9,3
protein,216,3.685,3
contain,147,4.067,3
antioxid,889,2.273,3
activ,2049,1.439,3
differ,245,3.559,3
ferment,230,3.622,3
leav,894,2.268,3
tilapia,154,4.021,3
oreochromi,117,4.294,3
evalu,258,3.508,3
meal,116,4.302,3
plant,183,3.85,3
diet,206,3.732,3
applic,131,4.182,3
effect,1775,1.582,3
perform,187,3.828,3
qualiti,214,3.694,3
supplement,215,3.689,3
niloticu,103,4.42,3
white,117,4.294,3
fed,160,3.983,3
level,304,3.344,3
green,105,4.401,3
develop,116,4.302,3
vitro,564,2.728,3
cytotox,181,3.86,3
extract,3173,1.002,3
fraction,357,3.184,3
formul,219,3.671,3
toxic,218,3.675,3
concentr,169,3.929,3
fruit,658,2.574,3
determin,150,4.047,3
method,231,3.618,3
content,411,3.043,3
fish,165,3.953,3
red,303,3.347,3
addit,161,3.977,3
agent,157,4.002,3
increas,118,4.285,3
system,115,4.311,3
water,212,3.703,3
peel,139,4.123,3
bean,112,4.337,3
bacteria,156,4.008,3
streptococcu,145,4.081,3
test,219,3.671,3
mangosteen,179,3.872,3
garcinia,244,3.563,3
cell,430,2.998,3
induc,219,3.671,3
antibacteri,430,2.998,3
inhibitori,194,3.792,3
curcuma,292,3.384,3
high,111,4.346,3
rat,962,2.194,3
studi,407,3.053,3
stem,115,4.311,3
inhibit,234,3.605,3
express,134,4.159,3
wistar,176,3.888,3
blood,243,3.567,3
glucos,129,4.197,3
diabet,222,3.657,3
model,201,3.756,3
analysi,257,3.512,3
bioactiv,177,3.883,3
compound,547,2.758,3
sargassum,111,4.346,3
solvent,110,4.355,3
optim,140,4.116,3
palm,543,2.766,3
empti,199,3.766,3
bunch,216,3.685,3
phytochem,175,3.894,3
ethanol,759,2.431,3
broiler,184,3.844,3
male,152,4.034,3
ration,106,4.392,3
chemic,144,4.088,3
composit,158,3.996,3
characterist,132,4.174,3
lipid,165,3.953,3
combin,253,3.527,3
process,123,4.244,3
acid,296,3.371,3
profil,305,3.341,3
liver,151,4.041,3
linn,248,3.547,3
asiatica,103,4.42,3
isol,290,3.391,3
total,209,3.717,3
base,174,3.9,3
potenc,127,4.212,3
natur,107,4.382,3
crude,170,3.923,3
piper,101,4.44,3
metabolit,102,4.43,3
chicken,133,4.167,3
fatti,107,4.382,3
antimicrobi,156,4.008,3
enzym,177,3.883,3
bark,149,4.054,3
phenol,191,3.807,3
vivo,118,4.285,3
identif,131,4.182,3
roxb,172,3.911,3
mouse,440,2.975,3
tea,155,4.015,3
seawe,116,4.302,3
mangostana,164,3.959,3
cancer,137,4.137,3
flavonoid,149,4.054,3
character,237,3.592,3
methanol,133,4.167,3
toward,104,4.411,3
rice,108,4.373,3
improv,138,4.13,3
rattu,148,4.061,3
norvegicu,125,4.228,3
acet,146,4.074,3
synthesi,114,4.32,3
nanoparticl,113,4.328,3
lour,135,4.152,3
skin,148,4.061,3
indonesian,199,3.766,3
merr,111,4.346,3
produksi,752,2.287,4
tumbuh,1362,1.693,4
simpan,228,3.477,4
suhu,215,3.535,4
indonesia,183,3.696,4
padi,602,2.509,4
tingkat,410,2.892,4
ragam,204,3.588,4
benih,277,3.283,4
ikan,129,4.043,4
beri,341,3.076,4
beda,317,3.149,4
aplikasi,343,3.07,4
metode,226,3.486,4
potensi,245,3.405,4
kelapa,436,2.831,4
media,281,3.269,4
studi,157,3.848,4
proses,137,3.983,4
sistem,205,3.583,4
kualitas,222,3.503,4
air,282,3.265,4
lama,179,3.718,4
genetik,253,3.373,4
kabupaten,217,3.526,4
populasi,181,3.707,4
limbah,174,3.746,4
budidaya,148,3.907,4
nitrogen,131,4.028,4
medium,143,3.941,4
effect,134,4.005,4
tiga,150,3.893,4
varietas,349,3.053,4
kaji,112,4.183,4
sinar,102,4.276,4
mutu,137,3.983,4
lalu,189,3.664,4
growth,184,3.69,4
guna,449,2.801,4
jenis,267,3.32,4
respons,158,3.842,4
capsicum,180,3.712,4
tanah,473,2.749,4
daya,132,4.02,4
buah,191,3.653,4
kakao,132,4.02,4
bakteri,331,3.105,4
pengaruh,1083,1.922,4
jamur,185,3.685,4
kandung,195,3.632,4
analisis,331,3.105,4
produktivitas,129,4.043,4
variasi,102,4.276,4
kompos,123,4.09,4
organik,334,3.096,4
ering,103,4.266,4
jagung,364,3.011,4
beberapa,315,3.155,4
kering,225,3.49,4
ubah,106,4.238,4
sifat,124,4.082,4
tomat,154,3.867,4
kadar,103,4.266,4
umur,124,4.082,4
konsentrasi,200,3.607,4
tanam,1443,1.635,4
hasil,747,2.293,4
solanum,146,3.92,4
panen,102,4.276,4
bawang,171,3.763,4
merah,299,3.207,4
allium,114,4.166,4
bagai,256,3.362,4
ubi,157,3.848,4
jalar,104,4.257,4
laku,140,3.962,4
bahan,187,3.674,4
cabai,258,3.354,4
sawit,389,2.944,4
kayu,147,3.913,4
vitro,264,3.331,4
tebu,116,4.148,4
lahan,202,3.597,4
mikoriza,130,4.035,4
annuum,115,4.157,4
var,126,4.066,4
hayati,161,3.823,4
pupuk,541,2.615,4
daun,239,3.43,4
kendali,205,3.583,4
sakit,245,3.405,4
fusarium,115,4.157,4
trichoderma,109,4.21,4
spp,167,3.787,4
bibit,240,3.426,4
karakteristik,133,4.013,4
fungi,160,3.829,4
tahan,219,3.517,4
akar,142,3.948,4
seleksi,153,3.874,4
karakter,252,3.377,4
cekam,153,3.874,4
identifikasi,216,3.531,4
kembang,187,3.674,4
cair,163,3.811,4
tambah,112,4.183,4
jarak,139,3.969,4
respon,180,3.712,4
kedelai,339,3.082,4
glycine,155,3.861,4
max,168,3.781,4
morfologi,162,3.817,4
asal,169,3.775,4
oryza,173,3.752,4
sativa,216,3.531,4
lokal,141,3.955,4
sawah,132,4.02,4
gen,122,4.098,4
isolat,126,4.066,4
uji,207,3.573,4
hijau,102,4.276,4
zea,114,4.166,4
mays,104,4.257,4
jacq,142,3.948,4
dasar,228,3.477,4
potato,107,4.228,4
kentang,107,4.228,4
aktivitas,109,4.21,4
dosis,173,3.752,4
elaeis,108,4.219,4
guineensis,105,4.247,4
kebun,155,3.861,4
tunas,100,4.295,4
kacang,138,3.976,4
kultur,150,3.893,4
tinggi,147,3.913,4
kultivar,147,3.913,4
karakterisasi,175,3.74,4
gamma,110,4.201,4
biji,109,4.21,4
optimasi,135,3.998,4
batang,117,4.14,4
manfaat,136,3.991,4
induksi,168,3.781,4
kombinasi,106,4.238,4
genotipe,129,4.043,4
jawa,159,3.835,4
klon,104,4.257,4
komposisi,100,4.295,4
anggrek,105,4.247,4
model,289,3.402,5
human,648,2.596,5
virus,172,3.918,5
express,1001,2.162,5
cell,1579,1.706,5
carcinoma,228,3.638,5
bacteri,149,4.061,5
role,199,3.773,5
diseas,256,3.522,5
analysi,453,2.953,5
correl,125,4.235,5
isol,862,2.311,5
identif,457,2.945,5
bacteria,619,2.642,5
evalu,146,4.081,5
inhibit,230,3.629,5
gene,918,2.248,5
infect,252,3.538,5
effect,756,2.442,5
tissu,187,3.835,5
cultur,193,3.804,5
studi,420,3.029,5
detect,250,3.546,5
deriv,226,3.646,5
stem,499,2.857,5
method,171,3.924,5
cancer,810,2.373,5
induc,262,3.499,5
genet,173,3.912,5
mesenchym,208,3.729,5
bone,306,3.345,5
molecular,455,2.949,5
avian,130,4.196,5
influenza,175,3.901,5
use,619,2.642,5
medium,129,4.204,5
prolifer,169,3.936,5
resist,275,3.451,5
growth,441,2.98,5
factor,273,3.458,5
endotheli,123,4.251,5
receptor,256,3.522,5
marker,192,3.809,5
product,268,3.477,5
character,411,3.05,5
rat,405,3.065,5
hepat,121,4.267,5
activ,616,2.647,5
breast,392,3.098,5
profil,137,4.144,5
patient,387,3.11,5
increas,239,3.591,5
immun,108,4.38,5
respons,175,3.901,5
dna,331,3.266,5
vaccin,132,4.181,5
mouse,232,3.62,5
level,187,3.835,5
potenti,297,3.374,5
applic,129,4.204,5
liver,147,4.074,5
gen,264,3.492,5
ekspresi,199,3.773,5
clone,102,4.437,5
viru,452,2.956,5
indonesia,554,2.752,5
chain,192,3.809,5
reaction,185,3.846,5
system,135,4.159,5
sequenc,174,3.907,5
acid,577,2.712,5
java,103,4.427,5
chronic,101,4.446,5
extract,305,3.348,5
tumor,100,4.456,5
base,218,3.682,5
dengu,173,3.912,5
protein,615,2.648,5
inhibitor,257,3.518,5
mutat,159,3.996,5
vitro,211,3.715,5
ferment,156,4.015,5
develop,146,4.081,5
polymorph,156,4.015,5
synthesi,107,4.389,5
probiot,229,3.633,5
candid,111,4.353,5
local,123,4.251,5
lactobacillu,219,3.678,5
enzym,110,4.362,5
lactic,213,3.705,5
indonesian,320,3.3,5
deteksi,110,4.362,5
mycobacterium,205,3.744,5
screen,203,3.753,5
recombin,121,4.267,5
escherichia,269,3.473,5
coli,304,3.351,5
fatti,103,4.427,5
diver,111,4.353,5
associ,188,3.83,5
chicken,186,3.84,5
milk,127,4.219,5
pcr,117,4.301,5
cytotox,257,3.518,5
indigen,144,4.095,5
polymeras,132,4.181,5
dock,156,4.015,5
plant,124,4.243,5
silico,116,4.309,5
curcumin,152,4.041,5
plantarum,139,4.13,5
cervic,115,4.318,5
colorect,100,4.456,5
differ,117,4.301,5
test,121,4.267,5
fibroblast,121,4.267,5
induct,100,4.456,5
produc,151,4.048,5
bacillu,172,3.918,5
novel,103,4.427,5
apoptosi,168,3.942,5
strain,150,4.054,5
combin,128,4.212,5
new,103,4.427,5
pathogen,128,4.212,5
type,108,4.38,5
line,226,3.646,5
tuberculosi,214,3.701,5
mcf7,113,4.335,5
antigen,143,4.102,5
staphylococcu,122,4.259,5
compound,118,4.292,5
perform,484,2.486,6
develop,474,2.507,6
system,1063,1.7,6
indonesia,282,3.024,6
effect,303,2.953,6
analysi,432,2.599,6
studi,646,2.198,6
base,619,2.24,6
evalu,312,2.924,6
integr,116,3.908,6
energi,365,2.767,6
storag,174,3.505,6
use,1120,1.648,6
oil,107,3.988,6
product,243,3.173,6
devic,133,3.772,6
water,149,3.659,6
fish,123,3.85,6
applic,746,2.054,6
qualiti,253,3.133,6
liquid,149,3.659,6
time,101,4.045,6
network,744,2.057,6
method,338,2.844,6
detect,227,3.241,6
electr,118,3.891,6
light,137,3.743,6
measur,317,2.908,6
design,713,2.099,6
monitor,318,2.905,6
sensor,497,2.459,6
wireless,262,3.098,6
data,142,3.707,6
mobil,135,3.757,6
approach,111,3.951,6
temperatur,235,3.206,6
commun,149,3.659,6
case,164,3.564,6
neural,306,2.943,6
process,141,3.714,6
optim,118,3.891,6
determin,111,3.951,6
implement,128,3.81,6
electron,109,3.969,6
smart,177,3.488,6
wave,114,3.925,6
imag,155,3.62,6
techniqu,160,3.589,6
array,135,3.757,6
preliminari,115,3.916,6
antenna,278,3.039,6
frequenc,141,3.714,6
radar,126,3.826,6
high,151,3.646,6
low,219,3.276,6
power,151,3.646,6
seismic,117,3.899,6
structur,279,3.035,6
solar,135,3.757,6
model,267,3.079,6
artifici,156,3.614,6
